feature,Decision Tree — With Risk,Decision Tree — Without Risk,Random Forest — With Risk,Random Forest — Without Risk,mean_importance,maximum_importance
risk_index,0.6873282945290933,0.0,0.2651155824681643,0.0,0.2381109692493144,0.6873282945290933
has_preparatory_subject,0.0,0.4129131682634297,0.11584458334374002,0.14901604730441248,0.16944344972789555,0.4129131682634297
secondary_preparation_level_Other,0.1447701197442155,0.12037290279174866,0.07837507624693525,0.06398256066626266,0.10187516486229052,0.1447701197442155
secondary_preparation_level_Standard,0.016154708620762834,0.12160157386386046,0.07678810933751085,0.16527303845955127,0.09495435757042135,0.16527303845955127
has_previous_current_subject_attempt,0.0,0.11902466928776055,0.059151517494405365,0.09912454389054672,0.06932518266817815,0.11902466928776055
prior_preparatory_subject_pass,0.0,0.0,0.0833230014066754,0.1293917111164604,0.053178678130783946,0.1293917111164604
previous_current_subject_failure,0.0,0.0,0.05867115501566053,0.10001047604224395,0.03967040776447612,0.10001047604224395
international_student,0.041785650776511744,0.05295094954387856,0.03376645527403728,0.02943350055929402,0.039484139038430406,0.05295094954387856
secondary_school_mark_band_<70,0.04664818158201773,0.04370798131635587,0.03520983958653634,0.032100566224716694,0.03941664217740666,0.04664818158201773
secondary_preparation_level_Ext1,0.0,0.019768666394085362,0.04853901920527793,0.07082255725106258,0.034782560712606464,0.07082255725106258
secondary_school_mark_band_90+,0.00555260167622707,0.04362797155106236,0.03375197540670846,0.03232166544103219,0.028813553518757522,0.04362797155106236
secondary_preparation_level_Ext2,0.02059423238550322,0.0327703729215331,0.02268505321641744,0.026881701221676563,0.02573283993628258,0.0327703729215331
secondary_school_mark_band_80-89,0.013981689476595005,0.0,0.040972496173863705,0.03606704008547562,0.02275530643398358,0.040972496173863705
secondary_preparation_level_Advanced,0.008449497231077564,0.0009676429981441849,0.025485319350124415,0.03787109821215782,0.018193389447875997,0.03787109821215782
secondary_school_mark_band_70-79,0.014735023977995993,0.013806286352103977,0.015370364218646411,0.015454787991121162,0.014841615634966885,0.015454787991121162
prior_preparatory_subject_failure,0.0,0.018487814716037214,0.006950452255296393,0.01224870553398582,0.009421743126329856,0.018487814716037214
