overall_rank,feature,Decision Tree — With Risk,Decision Tree — Without Risk,Random Forest — With Risk,Random Forest — Without Risk,models_included,included_model_average,all_model_average
1,risk_index,0.6873282945290933,0.0,0.2651155824681643,0.0,2,0.4762219384986288,0.2381109692493144
2,has_preparatory_subject,0.0,0.4129131682634297,0.11584458334374,0.1490160473044124,4,0.16944344972789555,0.16944344972789555
3,secondary_preparation_level_Other,0.1447701197442155,0.1203729027917486,0.0783750762469352,0.0639825606662626,4,0.10187516486229048,0.10187516486229048
4,secondary_preparation_level_Standard,0.0161547086207628,0.1216015738638604,0.0767881093375108,0.1652730384595512,4,0.09495435757042131,0.09495435757042131
5,has_previous_current_subject_attempt,0.0,0.1190246692877605,0.0591515174944053,0.0991245438905467,4,0.06932518266817812,0.06932518266817812
6,prior_preparatory_subject_pass,0.0,0.0,0.0833230014066754,0.1293917111164604,4,0.053178678130783946,0.053178678130783946
7,previous_current_subject_failure,0.0,0.0,0.0586711550156605,0.1000104760422439,4,0.0396704077644761,0.0396704077644761
8,international_student,0.0417856507765117,0.0529509495438785,0.0337664552740372,0.029433500559294,4,0.03948413903843035,0.03948413903843035
9,secondary_school_mark_band_<70,0.0466481815820177,0.0437079813163558,0.0352098395865363,0.0321005662247166,4,0.0394166421774066,0.0394166421774066
10,secondary_preparation_level_Ext1,0.0,0.0197686663940853,0.0485390192052779,0.0708225572510625,4,0.03478256071260642,0.03478256071260642
11,secondary_school_mark_band_90+,0.005552601676227,0.0436279715510623,0.0337519754067084,0.0323216654410321,4,0.028813553518757452,0.028813553518757452
12,secondary_preparation_level_Ext2,0.0205942323855032,0.0327703729215331,0.0226850532164174,0.0268817012216765,4,0.02573283993628255,0.02573283993628255
13,secondary_school_mark_band_80-89,0.013981689476595,0.0,0.0409724961738637,0.0360670400854756,4,0.022755306433983574,0.022755306433983574
14,secondary_preparation_level_Advanced,0.0084494972310775,0.0009676429981441,0.0254853193501244,0.0378710982121578,4,0.01819338944787595,0.01819338944787595
15,secondary_school_mark_band_70-79,0.0147350239779959,0.0138062863521039,0.0153703642186464,0.0154547879911211,4,0.014841615634966825,0.014841615634966825
16,prior_preparatory_subject_failure,0.0,0.0184878147160372,0.0069504522552963,0.0122487055339858,4,0.009421743126329825,0.009421743126329825
